exp,src,dst,number_of_packets,packet_size,time
60,0,1,100,400,0.000020
61,0,1,100,400,0.000020
62,0,1,100,400,0.000019
63,0,1,100,400,0.000020
64,0,1,100,400,0.000021
65,0,1,100,400,0.000020
66,0,1,100,400,0.000021
67,0,1,100,400,0.000023
68,0,1,100,400,0.000020
69,0,1,100,400,0.000020
70,0,1,100,400,0.000020
71,0,1,100,400,0.000021
72,0,1,100,400,0.000021
73,0,1,100,400,0.000020
74,0,1,100,400,0.000020
75,0,1,100,400,0.000020
76,0,1,100,400,0.000020
77,0,1,100,400,0.000020
78,0,1,100,400,0.000021
79,0,1,100,400,0.000034
80,0,1,100,400,0.000030
81,0,1,100,400,0.000020
82,0,1,100,400,0.000021
83,0,1,100,400,0.000022
84,0,1,100,400,0.000020
85,0,1,100,400,0.000021
86,0,1,100,400,0.000021
87,0,1,100,400,0.000020
88,0,1,100,400,0.000021
89,0,1,100,400,0.000021
90,0,1,100,400,0.000021
91,0,1,100,400,0.000020
92,0,1,100,400,0.000020
93,0,1,100,400,0.000021
94,0,1,100,400,0.000020
95,0,1,100,400,0.000021
96,0,1,100,400,0.000020
97,0,1,100,400,0.000020
98,0,1,100,400,0.000021
99,0,1,100,400,0.000021
1,0,1,100,4000,0.000421
2,0,1,100,4000,0.000068
3,0,1,100,4000,0.000066
4,0,1,100,4000,0.000067
5,0,1,100,4000,0.000066
6,0,1,100,4000,0.000067
7,0,1,100,4000,0.000067
8,0,1,100,4000,0.000066
9,0,1,100,4000,0.000066
10,0,1,100,4000,0.000070
11,0,1,100,4000,0.000057
12,0,1,100,4000,0.000057
13,0,1,100,4000,0.000057
14,0,1,100,4000,0.000057
15,0,1,100,4000,0.000057
16,0,1,100,4000,0.000065
17,0,1,100,4000,0.000058
18,0,1,100,4000,0.000057
19,0,1,100,4000,0.000057
20,0,1,100,4000,0.000057
21,0,1,100,4000,0.000057
22,0,1,100,4000,0.000057
23,0,1,100,4000,0.000057
24,0,1,100,4000,0.000057
25,0,1,100,4000,0.000057
26,0,1,100,4000,0.000069
27,0,1,100,4000,0.000068
28,0,1,100,4000,0.000057
29,0,1,100,4000,0.000057
30,0,1,100,4000,0.000057
31,0,1,100,4000,0.000057
32,0,1,100,4000,0.000057
33,0,1,100,4000,0.000057
34,0,1,100,4000,0.000057
35,0,1,100,4000,0.000058
36,0,1,100,4000,0.000057
37,0,1,100,4000,0.000057
