bounce,src,dst,packet_size,time
74,6,7,4,0.001002
98,4,5,4,0.000773
75,6,7,4,0.001005
99,4,5,4,0.000774
76,6,7,4,0.001002
77,6,7,4,0.000970
78,6,7,4,0.001009
79,6,7,4,0.001001
80,6,7,4,0.001002
81,6,7,4,0.001006
82,6,7,4,0.000995
83,6,7,4,0.000967
84,6,7,4,0.001001
85,6,7,4,0.001003
86,6,7,4,0.000965
87,6,7,4,0.001001
88,6,7,4,0.000997
89,6,7,4,0.000996
90,6,7,4,0.000949
91,6,7,4,0.001001
92,6,7,4,0.000997
93,6,7,4,0.001004
94,6,7,4,0.000960
95,6,7,4,0.001007
96,6,7,4,0.001005
97,6,7,4,0.000994
98,6,7,4,0.000965
99,6,7,4,0.000999
0,0,1,40,0.002304
1,0,1,40,0.000802
0,4,5,40,0.002389
0,2,3,40,0.002354
2,0,1,40,0.000787
1,4,5,40,0.000796
1,2,3,40,0.000790
3,0,1,40,0.000542
2,2,3,40,0.000530
2,4,5,40,0.000787
4,0,1,40,0.000775
0,6,7,40,0.002952
3,2,3,40,0.000786
3,4,5,40,0.000790
5,0,1,40,0.000767
4,2,3,40,0.000760
4,4,5,40,0.000785
1,6,7,40,0.001102
6,0,1,40,0.000764
5,2,3,40,0.000529
5,4,5,40,0.000776
7,0,1,40,0.000776
2,6,7,40,0.001097
6,2,3,40,0.000770
6,4,5,40,0.000787
8,0,1,40,0.000776
7,2,3,40,0.000765
3,6,7,40,0.001092
7,4,5,40,0.000783
9,0,1,40,0.000773
8,2,3,40,0.000771
10,0,1,40,0.000533
8,4,5,40,0.000776
4,6,7,40,0.001262
9,2,3,40,0.000762
11,0,1,40,0.000770
9,4,5,40,0.000787
10,2,3,40,0.000779
5,6,7,40,0.001026
12,0,1,40,0.000771
10,4,5,40,0.000787
11,2,3,40,0.000761
13,0,1,40,0.000761
11,4,5,40,0.000783
6,6,7,40,0.001273
14,0,1,40,0.000524
12,2,3,40,0.000774
12,4,5,40,0.000787
13,2,3,40,0.000793
15,0,1,40,0.000774
7,6,7,40,0.001088
13,4,5,40,0.000775
14,2,3,40,0.000764
16,0,1,40,0.000766
8,6,7,40,0.001005
15,2,3,40,0.000521
14,4,5,40,0.000778
17,0,1,40,0.000769
15,4,5,40,0.000777
16,2,3,40,0.000787
9,6,7,40,0.001034
18,0,1,40,0.000767
16,4,5,40,0.000782
17,2,3,40,0.000771
19,0,1,40,0.000779
17,4,5,40,0.000780
10,6,7,40,0.001087
18,2,3,40,0.000764
20,0,1,40,0.000767
18,4,5,40,0.000774
19,2,3,40,0.000758
11,6,7,40,0.001088
21,0,1,40,0.000772
20,2,3,40,0.000760
19,4,5,40,0.000779
22,0,1,40,0.000762
12,6,7,40,0.001088
21,2,3,40,0.000522
20,4,5,40,0.000773
23,0,1,40,0.000762
22,2,3,40,0.000788
13,6,7,40,0.001090
21,4,5,40,0.000779
24,0,1,40,0.000516
23,2,3,40,0.000749
22,4,5,40,0.000779
24,2,3,40,0.000524
25,0,1,40,0.000763
14,6,7,40,0.001089
23,4,5,40,0.000786
26,0,1,40,0.000775
25,2,3,40,0.000763
15,6,7,40,0.001089
27,0,1,40,0.000759
24,4,5,40,0.000783
26,2,3,40,0.000776
28,0,1,40,0.000519
25,4,5,40,0.000780
16,6,7,40,0.001088
27,2,3,40,0.000787
29,0,1,40,0.000776
26,4,5,40,0.000514
28,2,3,40,0.000788
30,0,1,40,0.000519
17,6,7,40,0.001085
27,4,5,40,0.000779
29,2,3,40,0.000771
31,0,1,40,0.000763
18,6,7,40,0.001088
28,4,5,40,0.000758
30,2,3,40,0.000781
32,0,1,40,0.000767
29,4,5,40,0.000780
30,4,5,40,0.000511
19,6,7,40,0.000993
33,0,1,40,0.000779
31,2,3,40,0.000780
32,2,3,40,0.000780
34,0,1,40,0.000796
20,6,7,40,0.001081
31,4,5,40,0.000771
33,2,3,40,0.000774
35,0,1,40,0.000538
32,4,5,40,0.000779
36,0,1,40,0.000752
21,6,7,40,0.001087
33,4,5,40,0.000755
34,2,3,40,0.000763
37,0,1,40,0.000761
34,4,5,40,0.000779
35,2,3,40,0.000783
22,6,7,40,0.001086
38,0,1,40,0.000768
35,4,5,40,0.000777
36,2,3,40,0.000786
39,0,1,40,0.000512
23,6,7,40,0.001088
37,2,3,40,0.000783
36,4,5,40,0.000778
40,0,1,40,0.000765
24,6,7,40,0.001083
38,2,3,40,0.000785
37,4,5,40,0.000779
41,0,1,40,0.000780
39,2,3,40,0.000787
38,4,5,40,0.000756
25,6,7,40,0.001092
42,0,1,40,0.000777
40,2,3,40,0.000770
39,4,5,40,0.000777
43,0,1,40,0.000772
26,6,7,40,0.001093
41,2,3,40,0.000758
44,0,1,40,0.000517
40,4,5,40,0.000768
27,6,7,40,0.001012
45,0,1,40,0.000763
42,2,3,40,0.000783
41,4,5,40,0.000779
46,0,1,40,0.000522
43,2,3,40,0.000787
42,4,5,40,0.000760
28,6,7,40,0.001035
47,0,1,40,0.000758
44,2,3,40,0.000767
43,4,5,40,0.000766
29,6,7,40,0.001049
48,0,1,40,0.000750
45,2,3,40,0.000764
44,4,5,40,0.000510
49,0,1,40,0.000758
45,4,5,40,0.000771
30,6,7,40,0.001009
46,2,3,40,0.000780
50,0,1,40,0.000526
46,4,5,40,0.000784
47,2,3,40,0.000786
51,0,1,40,0.000783
31,6,7,40,0.001085
47,4,5,40,0.000784
48,2,3,40,0.000779
52,0,1,40,0.000783
48,4,5,40,0.000776
32,6,7,40,0.001116
49,2,3,40,0.000764
53,0,1,40,0.000777
49,4,5,40,0.000788
50,2,3,40,0.000774
33,6,7,40,0.001109
54,0,1,40,0.000788
50,4,5,40,0.000775
51,2,3,40,0.000777
55,0,1,40,0.000771
51,4,5,40,0.000783
34,6,7,40,0.001109
52,2,3,40,0.000768
56,0,1,40,0.000794
52,4,5,40,0.000778
53,2,3,40,0.000781
35,6,7,40,0.001086
57,0,1,40,0.000766
53,4,5,40,0.000775
54,2,3,40,0.000771
58,0,1,40,0.000774
36,6,7,40,0.001098
54,4,5,40,0.000512
55,2,3,40,0.000775
59,0,1,40,0.000518
55,4,5,40,0.000770
37,6,7,40,0.001109
60,0,1,40,0.000776
56,2,3,40,0.000779
56,4,5,40,0.000515
57,2,3,40,0.000785
61,0,1,40,0.000756
57,4,5,40,0.000777
38,6,7,40,0.001101
62,0,1,40,0.000520
58,2,3,40,0.000760
58,4,5,40,0.000761
63,0,1,40,0.000767
59,4,5,40,0.000516
39,6,7,40,0.001265
59,2,3,40,0.000788
64,0,1,40,0.000758
60,4,5,40,0.000774
60,2,3,40,0.000782
40,6,7,40,0.001047
65,0,1,40,0.000775
61,4,5,40,0.000771
61,2,3,40,0.000779
41,6,7,40,0.001032
66,0,1,40,0.000773
62,4,5,40,0.000781
62,2,3,40,0.000765
67,0,1,40,0.000768
63,4,5,40,0.000793
42,6,7,40,0.001033
63,2,3,40,0.000787
68,0,1,40,0.000774
64,4,5,40,0.000777
64,2,3,40,0.000776
43,6,7,40,0.001288
69,0,1,40,0.000780
65,4,5,40,0.000773
65,2,3,40,0.000783
70,0,1,40,0.000770
66,4,5,40,0.000798
44,6,7,40,0.001011
66,2,3,40,0.000784
71,0,1,40,0.000773
67,4,5,40,0.000800
67,2,3,40,0.000795
45,6,7,40,0.001094
72,0,1,40,0.000777
68,4,5,40,0.000795
68,2,3,40,0.000770
73,0,1,40,0.000774
69,4,5,40,0.000794
46,6,7,40,0.001294
69,2,3,40,0.000770
74,0,1,40,0.000781
70,4,5,40,0.000784
70,2,3,40,0.000780
47,6,7,40,0.001288
75,0,1,40,0.000769
71,2,3,40,0.000776
71,4,5,40,0.000792
76,0,1,40,0.000784
72,4,5,40,0.000795
48,6,7,40,0.001005
72,2,3,40,0.000781
77,0,1,40,0.000760
73,4,5,40,0.000795
73,2,3,40,0.000786
49,6,7,40,0.001100
78,0,1,40,0.000749
74,4,5,40,0.000780
74,2,3,40,0.000767
79,0,1,40,0.000519
75,4,5,40,0.000789
50,6,7,40,0.001277
80,0,1,40,0.000772
75,2,3,40,0.000778
76,2,3,40,0.000524
81,0,1,40,0.000525
76,4,5,40,0.000790
51,6,7,40,0.001021
77,2,3,40,0.000785
82,0,1,40,0.000760
77,4,5,40,0.000790
52,6,7,40,0.001015
83,0,1,40,0.000770
78,2,3,40,0.000797
78,4,5,40,0.000788
84,0,1,40,0.000515
79,2,3,40,0.000798
79,4,5,40,0.000779
53,6,7,40,0.001104
85,0,1,40,0.000774
80,2,3,40,0.000793
80,4,5,40,0.000794
86,0,1,40,0.000778
54,6,7,40,0.001100
81,2,3,40,0.000769
81,4,5,40,0.000791
87,0,1,40,0.000519
82,2,3,40,0.000783
82,4,5,40,0.000800
55,6,7,40,0.001097
88,0,1,40,0.000755
83,2,3,40,0.000770
83,4,5,40,0.000786
89,0,1,40,0.000789
56,6,7,40,0.001102
84,2,3,40,0.000781
84,4,5,40,0.000773
90,0,1,40,0.000769
57,6,7,40,0.001103
85,2,3,40,0.000796
85,4,5,40,0.000787
91,0,1,40,0.000791
86,2,3,40,0.000787
58,6,7,40,0.001092
86,4,5,40,0.000790
92,0,1,40,0.000782
87,2,3,40,0.000770
87,4,5,40,0.000798
93,0,1,40,0.000789
59,6,7,40,0.001106
94,0,1,40,0.000519
88,2,3,40,0.000785
88,4,5,40,0.000788
89,2,3,40,0.000780
95,0,1,40,0.000773
60,6,7,40,0.001104
89,4,5,40,0.000793
90,2,3,40,0.000779
96,0,1,40,0.000774
90,4,5,40,0.000792
61,6,7,40,0.001104
97,0,1,40,0.000511
91,2,3,40,0.000787
91,4,5,40,0.000797
98,0,1,40,0.000769
62,6,7,40,0.001098
92,2,3,40,0.000789
92,4,5,40,0.000792
99,0,1,40,0.000780
93,2,3,40,0.000785
63,6,7,40,0.001103
93,4,5,40,0.000785
94,2,3,40,0.000774
94,4,5,40,0.000779
64,6,7,40,0.001022
95,2,3,40,0.000766
95,4,5,40,0.000796
65,6,7,40,0.001035
96,2,3,40,0.000787
96,4,5,40,0.000800
97,2,3,40,0.000781
97,4,5,40,0.000805
66,6,7,40,0.001038
98,2,3,40,0.000775
98,4,5,40,0.000790
67,6,7,40,0.001039
99,2,3,40,0.000756
99,4,5,40,0.000782
68,6,7,40,0.001028
69,6,7,40,0.001108
70,6,7,40,0.001100
71,6,7,40,0.001104
72,6,7,40,0.001105
73,6,7,40,0.001105
74,6,7,40,0.001089
75,6,7,40,0.001098
76,6,7,40,0.001105
77,6,7,40,0.001105
78,6,7,40,0.001099
79,6,7,40,0.001098
80,6,7,40,0.001104
81,6,7,40,0.001097
82,6,7,40,0.001100
83,6,7,40,0.001093
84,6,7,40,0.001097
85,6,7,40,0.001108
86,6,7,40,0.001104
87,6,7,40,0.001106
88,6,7,40,0.001095
89,6,7,40,0.001100
90,6,7,40,0.001113
91,6,7,40,0.001105
92,6,7,40,0.001095
93,6,7,40,0.001096
94,6,7,40,0.001103
95,6,7,40,0.001108
96,6,7,40,0.001103
97,6,7,40,0.001107
98,6,7,40,0.001099
99,6,7,40,0.001095
0,0,1,400,0.002400
1,0,1,400,0.000826
0,4,5,400,0.002477
0,2,3,400,0.002454
2,0,1,400,0.000789
1,2,3,400,0.001004
1,4,5,400,0.000992
3,0,1,400,0.000780
2,2,3,400,0.000984
2,4,5,400,0.000975
4,0,1,400,0.000797
3,2,3,400,0.000826
3,4,5,400,0.000858
5,0,1,400,0.001000
4,4,5,400,0.000973
0,6,7,400,0.004351
4,2,3,400,0.000965
6,0,1,400,0.001017
5,2,3,400,0.000849
5,4,5,400,0.000806
7,0,1,400,0.000786
6,2,3,400,0.000973
6,4,5,400,0.000968
8,0,1,400,0.000796
1,6,7,400,0.002354
7,2,3,400,0.000793
7,4,5,400,0.000832
9,0,1,400,0.001022
8,4,5,400,0.000805
8,2,3,400,0.000971
10,0,1,400,0.000785
9,4,5,400,0.000969
9,2,3,400,0.000872
11,0,1,400,0.000786
2,6,7,400,0.002339
10,2,3,400,0.001023
10,4,5,400,0.000865
12,0,1,400,0.000792
11,4,5,400,0.000977
13,0,1,400,0.000813
11,2,3,400,0.000902
14,0,1,400,0.000772
3,6,7,400,0.002333
12,4,5,400,0.000947
12,2,3,400,0.000841
15,0,1,400,0.000765
13,2,3,400,0.000927
13,4,5,400,0.000947
16,0,1,400,0.000787
14,4,5,400,0.000970
14,2,3,400,0.000971
17,0,1,400,0.000780
4,6,7,400,0.002431
15,2,3,400,0.000790
15,4,5,400,0.000811
18,0,1,400,0.000769
16,2,3,400,0.000974
16,4,5,400,0.000800
19,0,1,400,0.001006
17,4,5,400,0.000964
17,2,3,400,0.000863
20,0,1,400,0.000790
5,6,7,400,0.002427
18,2,3,400,0.000769
18,4,5,400,0.000792
21,0,1,400,0.000795
19,2,3,400,0.000787
19,4,5,400,0.000833
22,0,1,400,0.000989
6,6,7,400,0.002424
20,4,5,400,0.000987
20,2,3,400,0.000959
23,0,1,400,0.001007
21,2,3,400,0.000974
21,4,5,400,0.000966
24,0,1,400,0.000774
22,2,3,400,0.000852
22,4,5,400,0.000832
25,0,1,400,0.001020
7,6,7,400,0.002339
23,2,3,400,0.000782
23,4,5,400,0.000970
26,0,1,400,0.000779
24,2,3,400,0.001014
24,4,5,400,0.000832
27,0,1,400,0.001014
25,2,3,400,0.000782
25,4,5,400,0.000967
8,6,7,400,0.002329
28,0,1,400,0.000800
26,4,5,400,0.000793
26,2,3,400,0.000777
29,0,1,400,0.000787
27,2,3,400,0.000965
27,4,5,400,0.000822
30,0,1,400,0.001003
9,6,7,400,0.002341
28,4,5,400,0.000964
28,2,3,400,0.000861
31,0,1,400,0.000796
29,2,3,400,0.000968
29,4,5,400,0.000848
32,0,1,400,0.000762
30,2,3,400,0.000808
30,4,5,400,0.001001
33,0,1,400,0.001007
10,6,7,400,0.002353
31,2,3,400,0.001017
31,4,5,400,0.000969
34,0,1,400,0.000785
32,2,3,400,0.000983
35,0,1,400,0.000805
32,4,5,400,0.000931
36,0,1,400,0.000773
11,6,7,400,0.002417
33,2,3,400,0.000948
33,4,5,400,0.000971
37,0,1,400,0.000774
34,2,3,400,0.000926
34,4,5,400,0.000973
38,0,1,400,0.000777
35,2,3,400,0.000982
35,4,5,400,0.000840
39,0,1,400,0.000776
12,6,7,400,0.002330
36,2,3,400,0.000802
36,4,5,400,0.000971
40,0,1,400,0.000772
37,2,3,400,0.000925
41,0,1,400,0.000793
37,4,5,400,0.000929
42,0,1,400,0.000771
38,2,3,400,0.000967
